link,question,related_links
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17381&row_limit=1,"Hiện nay tôi đã kết hôn, chồng tôi là người Nhật Bản. Vậy con tôi khi đăng ký khai sinh có được đặt tên và họ theo bố hay không?",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000528']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17407&row_limit=1,"Con tôi chung sống với một anh sinh được một cháu trai, nhưng cả hai chưa lấy nhau nay đã chết. Vậy tôi muốn nhà nước xác nhận việc đó là bố mẹ của cháu tôi thì có được không?","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000080', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000689', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001022', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000547', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001695']"
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17404&row_limit=1,Tôi hiện đang cư trú tại thành phố Hà Nội. Tôi có quan hệ tình cảm với một chị và đã sinh được một bé trai. Do chúng tôi chưa đăng ký kết hôn và hiện tôi cũng đang có gia đình riêng. Vậy nay tôi muốn nhận con mình để nhập vào hộ khẩu nhà tôi thì cơ quan có thẩm quyền xác nhận quan hệ cho bố con tôi là cơ quan nào ạ? Tôi phải chuẩn bị những giấy tờ gì?,"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000080', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000689', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001022', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001695', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000779']"
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17366&row_limit=1,"Vợ tôi mới sinh con, nay tôi muốn đăng ký khai sinh cho con của tôi thì tôi phải đến đâu?",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001193']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17371&row_limit=1,"Tôi có chồng người Mỹ, đăng ký kết hôn tại Việt Nam, tôi mới sinh con tại Việt Nam. Vậy tôi xin hỏi, tôi muốn khai sinh cho con tôi thì phải làm như thế nào?",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000528']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17379&row_limit=1,"Hiện tôi đang gặp khó khăn trong việc làm khai sinh cho con của tôi ở mục quê quán. Chồng tôi (bố của bé) sinh ra và lớn lên tại Nam Định nhưng trên CMND của chồng tôi ghi nguyên quán là Hà Nam, hiện nay chồng tôi đang công tác tại Hà Nội. Chúng tôi vừa sinh con được hơn một tháng thì đến UBND xã (nơi cư trú của tôi) làm giấy khai sinh cho cháu. Khi đi chúng tôi mang theo giấy chứng sinh, giấy kết hôn, sổ hộ khẩu và CMND của hai vợ chồng. Khi điền thông tin vào tờ khai, chúng tôi ghi thông tin ở mục quê quán của cháu là Nam Định thì cán bộ tư pháp không đồng ý, cán bộ bảo rằng phải ghi ở Hà Nam theo trên CMND của chồng tôi. Nhưng hiện tại, gia đình bên chồng tôi chẳng còn ai ở Hà Nam và chồng tôi cũng không sinh ra và lớn lên tại Hà Nam nên nếu điền quê quán của cháu ở Hà Nam thì có ảnh hưởng đến việc xác minh lý lịch sau này của cháu không ạ? Và điền thông tin ở Hà Nam hay Nam Định mới đúng ạ?",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001193']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=15727&row_limit=1,Bảo hiểm y tế là gì?,"['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001656', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001759', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001909', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001939', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.001058']"
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17369&row_limit=1,"Do một số lý do về sức khỏe, chị tôi không thể đi đăng ký khai sinh cho con. Vậy tôi là dì ruột của cháu tôi thì tôi có quyền đi đăng ký khai sinh cho cháu tôi hay không?",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001193']
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17375&row_limit=1,"Trước đây tôi đã kết hôn với một công dân Đức và sinh sống, cư trú tại Đức. Tuy nhiên, do hôn nhân không hạnh phúc nên đầu tháng 8/2018 tôi đã về nước và chung sống với một anh người Việt Nam và sinh được một cháu trai (tôi vẫn chưa làm thủ tục ly hôn với chồng Đức của mình). Vậy khi đăng ký khai sinh cho con tôi, tôi muốn ghi tên bố thật là anh người Việt Nam cho con tôi có được không ạ?","['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.000689', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.001193', 'https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.003583']"
https://dichvucong.gov.vn/p/home/dvc-chi-tiet-cau-hoi.html?id=17380&row_limit=1,"Tôi là công dân Việt Nam, có con với một công dân Hàn Quốc. Anh này đã có vợ bên Hàn Quốc. Vậy cho tôi hỏi con tôi sinh ra tại Việt Nam thì tôi phải làm thế nào để đăng ký khai sinh cho con của tôi và con tôi có thể có cả 2 quốc tịch Việt Nam và Hàn Quốc hay không?",['https://dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=2.000528']
